[WARN] Validation CSV is empty: /home/fzliang/Autism-project/data/processed/totalcapture_full/windows_val.csv. Validation will be skipped.
[WARN] IMU checkpoint not found at /home/fzliang/origin/despite/totalcapture/checkpoints/si_totalcapture_best.pth; training IMU encoder from random init.
Train windows: 11165, Val windows: 0
Trainable params: 27,913,229
Backbone cfg name: MB_ft_h36m_global_lite
Artifacts directory: /home/fzliang/Autism-project/artifacts/totalcapture_full_vicon_50ep
[Epoch 1/50] step 20/174 loss=3.8063 top1=0.0516
[Epoch 1/50] step 40/174 loss=3.5044 top1=0.0855
[Epoch 1/50] step 60/174 loss=3.3734 top1=0.1018
[Epoch 1/50] step 80/174 loss=3.3010 top1=0.1140
[Epoch 1/50] step 100/174 loss=3.2262 top1=0.1267
[Epoch 1/50] step 120/174 loss=3.1781 top1=0.1332
[Epoch 1/50] step 140/174 loss=3.1364 top1=0.1414
[Epoch 1/50] step 160/174 loss=3.0944 top1=0.1491
Epoch 1: train_loss=3.0756 train_top1=0.1527 val_loss=0.0000 val_top1=0.0000
[Epoch 2/50] step 20/174 loss=2.7298 top1=0.2070
[Epoch 2/50] step 40/174 loss=2.7270 top1=0.2131
[Epoch 2/50] step 60/174 loss=2.7185 top1=0.2146
[Epoch 2/50] step 80/174 loss=2.6975 top1=0.2252
[Epoch 2/50] step 100/174 loss=2.6680 top1=0.2308
[Epoch 2/50] step 120/174 loss=2.6496 top1=0.2344
[Epoch 2/50] step 140/174 loss=2.6251 top1=0.2396
[Epoch 2/50] step 160/174 loss=2.6065 top1=0.2430
Epoch 2: train_loss=2.5949 train_top1=0.2461 val_loss=0.0000 val_top1=0.0000
[Epoch 3/50] step 20/174 loss=2.3290 top1=0.2984
[Epoch 3/50] step 40/174 loss=2.3412 top1=0.2982
[Epoch 3/50] step 60/174 loss=2.3456 top1=0.2997
[Epoch 3/50] step 80/174 loss=2.3314 top1=0.3038
[Epoch 3/50] step 100/174 loss=2.3151 top1=0.3065
[Epoch 3/50] step 120/174 loss=2.2947 top1=0.3103
[Epoch 3/50] step 140/174 loss=2.2865 top1=0.3132
[Epoch 3/50] step 160/174 loss=2.2730 top1=0.3187
Epoch 3: train_loss=2.2641 train_top1=0.3206 val_loss=0.0000 val_top1=0.0000
[Epoch 4/50] step 20/174 loss=2.1383 top1=0.3520
[Epoch 4/50] step 40/174 loss=2.1076 top1=0.3662
[Epoch 4/50] step 60/174 loss=2.1252 top1=0.3589
[Epoch 4/50] step 80/174 loss=2.1113 top1=0.3613
[Epoch 4/50] step 100/174 loss=2.0990 top1=0.3652
[Epoch 4/50] step 120/174 loss=2.0790 top1=0.3689
[Epoch 4/50] step 140/174 loss=2.0697 top1=0.3732
[Epoch 4/50] step 160/174 loss=2.0699 top1=0.3741
Epoch 4: train_loss=2.0643 train_top1=0.3742 val_loss=0.0000 val_top1=0.0000
[Epoch 5/50] step 20/174 loss=1.9543 top1=0.3891
[Epoch 5/50] step 40/174 loss=1.9126 top1=0.4020
[Epoch 5/50] step 60/174 loss=1.9220 top1=0.4030
[Epoch 5/50] step 80/174 loss=1.9269 top1=0.4003
[Epoch 5/50] step 100/174 loss=1.9257 top1=0.3994
[Epoch 5/50] step 120/174 loss=1.9255 top1=0.3999
[Epoch 5/50] step 140/174 loss=1.9287 top1=0.3960
[Epoch 5/50] step 160/174 loss=1.9282 top1=0.3969
Epoch 5: train_loss=1.9231 train_top1=0.3988 val_loss=0.0000 val_top1=0.0000
[Epoch 6/50] step 20/174 loss=1.8283 top1=0.4266
[Epoch 6/50] step 40/174 loss=1.8102 top1=0.4260
[Epoch 6/50] step 60/174 loss=1.7892 top1=0.4313
[Epoch 6/50] step 80/174 loss=1.7780 top1=0.4365
[Epoch 6/50] step 100/174 loss=1.7591 top1=0.4415
[Epoch 6/50] step 120/174 loss=1.7397 top1=0.4463
[Epoch 6/50] step 140/174 loss=1.7296 top1=0.4527
[Epoch 6/50] step 160/174 loss=1.7252 top1=0.4530
Epoch 6: train_loss=1.7133 train_top1=0.4572 val_loss=0.0000 val_top1=0.0000
