group,subject,action,ann_start,ann_end,imu_start,imu_end,imu_ok,csv_path
subject1-1,subject1,standing,2021-11-19 11:16:19.121,2021-11-19 11:16:22.308,2021-11-19 11:16:19.127,2021-11-19 11:16:22.302,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera2/person1-1/subject1/standing/person1-1.subject1.standing.csv
subject1-1,subject1,crouching,2021-11-19 11:16:30.318,2021-11-19 11:16:34.673,2021-11-19 11:16:30.323,2021-11-19 11:16:34.672,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/crouching/person1-1.subject1.crouching.csv
subject1-1,subject1,walking,2021-11-19 11:16:40.389,2021-11-19 11:16:45.491,2021-11-19 11:16:40.394,2021-11-19 11:16:45.489,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/walking/person1-1.subject1.walking.csv
subject1-1,subject1,running,2021-11-19 11:16:51.945,2021-11-19 11:16:55.939,2021-11-19 11:16:51.948,2021-11-19 11:16:55.939,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/running/person1-1.subject1.running.csv
subject1-1,subject1,checking_time,2021-11-19 11:17:03.746,2021-11-19 11:17:07.746,2021-11-19 11:17:03.751,2021-11-19 11:17:07.741,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/checking_time/person1-1.subject1.checking_time.csv
subject1-1,subject1,waving_hand,2021-11-19 11:17:13.984,2021-11-19 11:17:18.166,2021-11-19 11:17:13.991,2021-11-19 11:17:18.161,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/waving_hand/person1-1.subject1.waving_hand.csv
subject1-1,subject1,using_phone,2021-11-19 11:17:25.121,2021-11-19 11:17:31.292,2021-11-19 11:17:25.127,2021-11-19 11:17:31.287,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/using_phone/person1-1.subject1.using_phone.csv
subject1-1,subject1,talking_on_phone,2021-11-19 11:17:41.639,2021-11-19 11:17:49.476,2021-11-19 11:17:41.647,2021-11-19 11:17:49.469,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/talking_on_phone/person1-1.subject1.talking_on_phone.csv
subject1-1,subject1,kicking,2021-11-19 11:17:58.688,2021-11-19 11:18:00.098,2021-11-19 11:17:58.694,2021-11-19 11:18:00.097,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/kicking/person1-1.subject1.kicking.csv
subject1-1,subject1,pointing,2021-11-19 11:18:10.220,2021-11-19 11:18:14.724,2021-11-19 11:18:10.228,2021-11-19 11:18:14.716,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/pointing/person1-1.subject1.pointing.csv
subject1-1,subject1,throwing,2021-11-19 11:18:21.783,2021-11-19 11:18:23.253,2021-11-19 11:18:21.792,2021-11-19 11:18:23.245,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/throwing/person1-1.subject1.throwing.csv
subject1-1,subject1,jumping,2021-11-19 11:18:32.072,2021-11-19 11:18:34.008,2021-11-19 11:18:32.072,2021-11-19 11:18:34.002,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/jumping/person1-1.subject1.jumping.csv
subject1-1,subject1,entering,2021-11-19 11:19:27.003,2021-11-19 11:19:32.257,2021-11-19 11:19:27.005,2021-11-19 11:19:32.250,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/entering/person1-1.subject1.entering.csv
subject1-1,subject1,setting_down,2021-11-19 11:19:57.175,2021-11-19 11:20:10.330,2021-11-19 11:19:57.179,2021-11-19 11:20:10.326,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-1/subject1/setting_down/person1-1.subject1.setting_down.csv
subject1-2,subject1,pushing,2021-11-19 11:32:55.581,2021-11-19 11:33:05.595,2021-11-19 11:32:55.588,2021-11-19 11:33:05.590,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-2/subject1/pushing/person1-2.subject1.pushing.csv
subject1-2,subject1,pulling,2021-11-19 11:33:27.840,2021-11-19 11:33:43.669,2021-11-19 11:33:27.843,2021-11-19 11:33:43.667,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-2/subject1/pulling/person1-2.subject1.pulling.csv
subject1-2,subject1,picking_up,2021-11-19 11:34:17.489,2021-11-19 11:34:19.408,2021-11-19 11:34:17.494,2021-11-19 11:34:19.405,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-2/subject1/picking_up/person1-2.subject1.picking_up.csv
subject1-2,subject1,fall,2021-11-19 11:34:50.518,2021-11-19 11:34:57.971,2021-11-19 11:34:50.525,2021-11-19 11:34:57.969,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-2/subject1/fall/person1-2.subject1.fall.csv
subject1-2,subject1,carrying_heavy,2021-11-19 11:35:32.432,2021-11-19 11:35:47.341,2021-11-19 11:35:32.433,2021-11-19 11:35:47.341,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person1-2/subject1/carrying_heavy/person1-2.subject1.carrying_heavy.csv
subject10,subject10,standing,2021-11-19 14:13:04.367,2021-11-19 14:13:10.205,2021-11-19 14:13:04.367,2021-11-19 14:13:10.199,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/standing/person10.subject10.standing.csv
subject10,subject10,crouching,2021-11-19 14:13:16.391,2021-11-19 14:13:22.463,2021-11-19 14:13:16.399,2021-11-19 14:13:22.459,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/crouching/person10.subject10.crouching.csv
subject10,subject10,walking,2021-11-19 14:13:29.573,2021-11-19 14:13:37.741,2021-11-19 14:13:29.575,2021-11-19 14:13:37.735,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/walking/person10.subject10.walking.csv
